Blender 4.2.6 LTS (hash 6dc30a3be3cf built 2025-01-21 01:31:08)
Fra:1 Mem:11.95M (Peak 12.99M) | Time:00:00.00 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Images
Fra:1 Mem:11.95M (Peak 12.99M) | Time:00:00.00 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Images | Loading white_wall_normal.png
Fra:1 Mem:11.95M (Peak 12.99M) | Time:00:00.00 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Images | Loading white_wall_rough.png
Fra:1 Mem:24.97M (Peak 24.97M) | Time:00:00.02 | Mem:1.06M, Peak:1.06M | Scene, ViewLayer | Updating Images | Loading tile_normal.png
Fra:1 Mem:28.97M (Peak 28.97M) | Time:00:00.04 | Mem:17.06M, Peak:17.06M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:28.97M (Peak 28.97M) | Time:00:00.04 | Mem:17.06M, Peak:17.06M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:28.97M (Peak 28.97M) | Time:00:00.04 | Mem:17.14M, Peak:17.14M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:28.97M (Peak 28.97M) | Time:00:00.04 | Mem:17.14M, Peak:17.14M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:28.97M (Peak 28.97M) | Time:00:00.04 | Mem:17.14M, Peak:17.14M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:28.97M (Peak 28.97M) | Time:00:00.04 | Mem:17.14M, Peak:17.14M | Scene, ViewLayer | Updating Film
Fra:1 Mem:28.97M (Peak 28.97M) | Time:00:00.04 | Mem:17.06M, Peak:17.14M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:28.97M (Peak 28.97M) | Time:00:00.04 | Mem:17.15M, Peak:17.15M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:28.97M (Peak 28.97M) | Time:00:00.04 | Mem:17.15M, Peak:17.15M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:28.97M (Peak 28.97M) | Time:00:00.04 | Mem:17.15M, Peak:17.15M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:28.97M (Peak 28.97M) | Time:00:00.04 | Mem:17.15M, Peak:17.15M | Scene, ViewLayer | Sample 0/120
Fra:1 Mem:112.48M (Peak 112.48M) | Time:00:00.45 | Remaining:00:48.40 | Mem:100.66M, Peak:100.66M | Scene, ViewLayer | Sample 1/120
Fra:1 Mem:112.48M (Peak 112.48M) | Time:00:24.29 | Remaining:00:21.21 | Mem:100.66M, Peak:100.66M | Scene, ViewLayer | Sample 64/120
Fra:1 Mem:112.48M (Peak 112.48M) | Time:00:27.16 | Remaining:00:13.55 | Mem:100.66M, Peak:100.66M | Scene, ViewLayer | Sample 80/120
Fra:1 Mem:112.48M (Peak 112.48M) | Time:00:29.54 | Remaining:00:07.37 | Mem:100.66M, Peak:100.66M | Scene, ViewLayer | Sample 96/120
